id,name,description,is_active,need_approval,created_at,updated_at,role_id,reports_to_role_id
1,accepted-domains.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
2,accepted-domains.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
3,accepted-domains.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
4,accepted-domains.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
5,accepted-domains.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
6,appreciations.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
7,appreciations.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
8,appreciations.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
9,appreciations.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
10,appreciations.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
11,campaigns.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
12,campaigns.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
13,campaigns.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
14,campaigns.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
15,campaigns.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
16,comments.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
17,comments.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
18,comments.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
19,comments.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
20,comments.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
21,contents.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
22,contents.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
23,contents.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
24,contents.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
25,contents.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
26,general.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
27,general.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
28,general.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
29,general.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
30,general.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
31,media.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
32,media.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
33,media.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
34,media.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
35,media.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
36,messages.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
37,messages.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
38,messages.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
39,messages.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
40,messages.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
41,notifications.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
42,notifications.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
43,notifications.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
44,notifications.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
45,notifications.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
46,resources.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
47,resources.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
48,resources.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
49,resources.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
50,resources.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
51,responses.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
52,responses.index,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
53,responses.show,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
54,responses.store,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
55,responses.update,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
56,roles.destroy,null,1,0,9/25/2023 8:04,9/25/2023 8:04,1,1
