id,domain,type,created_at,updated_at,user_id,is_active
80,.asia,sponsored,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
81,.associates,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
82,.at,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
83,.athleta,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
84,.attorney,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
85,.au,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
86,.auction,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
87,.audi,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
88,.audible,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
89,.audio,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
90,.auspost,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
91,.author,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
92,.auto,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
93,.autos,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
94,.avianca,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
95,.aw,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
96,.aws,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
97,.ax,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
98,.axa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
99,.az,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
100,.azure,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
101,.ba,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
102,.baby,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
103,.baidu,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
104,.banamex,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
105,.bananarepublic,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
106,.band,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
107,.bank,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
108,.bar,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
109,.barcelona,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
110,.barclaycard,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
111,.barclays,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
112,.barefoot,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
113,.bargains,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
114,.baseball,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
115,.basketball,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
116,.bauhaus,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
117,.bayern,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
118,.bb,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
119,.bbc,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
120,.bbt,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
121,.bbva,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
122,.bcg,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
123,.bcn,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
124,.bd,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
125,.be,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
126,.beats,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
127,.beauty,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
128,.beer,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
129,.bentley,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
130,.berlin,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
131,.best,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
132,.bestbuy,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
133,.bet,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
134,.bf,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
135,.bg,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
136,.bh,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
137,.bharti,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
138,.bi,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
139,.bible,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
140,.bid,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
141,.bike,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
142,.bing,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
143,.bingo,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
144,.bio,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
145,.biz,generic-restricted,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
146,.bj,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
147,.bl,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
148,.black,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
149,.blackfriday,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
150,.blanco,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
151,.blockbuster,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
152,.blog,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
153,.bloomberg,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
154,.blue,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
155,.bm,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
156,.bms,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
157,.bmw,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
158,.bn,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
159,.bnl,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
160,.bnpparibas,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
161,.bo,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
162,.boats,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
163,.boehringer,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
164,.bofa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
165,.bom,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
166,.bond,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
167,.boo,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
168,.book,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
169,.booking,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
170,.boots,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
171,.bosch,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
172,.bostik,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
173,.boston,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
174,.bot,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
175,.boutique,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
176,.box,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
177,.bq,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
178,.br,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
179,.bradesco,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
180,.bridgestone,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
181,.broadway,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
182,.broker,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
183,.brother,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
184,.brussels,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
185,.bs,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
186,.bt,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
187,.budapest,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
188,.bugatti,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
189,.build,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
190,.builders,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
191,.business,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
192,.buy,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
193,.buzz,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
194,.bv,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
195,.bw,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
196,.by,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
197,.bz,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
198,.bzh,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
199,.ca,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
200,.cab,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
201,.cafe,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
202,.cal,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
203,.call,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
204,.calvinklein,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
205,.cam,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
206,.camera,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
207,.camp,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
208,.cancerresearch,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
209,.canon,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
210,.capetown,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
211,.capital,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
212,.capitalone,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
213,.car,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
